qx	qy	Energy_lower	Energy_upper
-1.0000000000e-01	-1.0000000000e-01	4.5989859808e+00	1.6841993264e+00
-1.0000000000e-01	-9.0000000000e-02	4.5376020271e+00	1.7455832801e+00
-1.0000000000e-01	-8.0000000000e-02	4.4782275000e+00	1.8049578072e+00
-1.0000000000e-01	-7.0000000000e-02	4.4217785064e+00	1.8614068008e+00
-1.0000000000e-01	-6.0000000000e-02	4.3692921208e+00	1.9138931864e+00
-1.0000000000e-01	-5.0000000000e-02	4.3219092578e+00	1.9612760494e+00
-1.0000000000e-01	-4.0000000000e-02	4.2808368728e+00	2.0023484344e+00
-1.0000000000e-01	-3.0000000000e-02	4.2472838930e+00	2.0359014142e+00
-1.0000000000e-01	-2.0000000000e-02	4.2223698161e+00	2.0608154911e+00
-1.0000000000e-01	-1.0000000000e-02	4.2070138718e+00	2.0761714353e+00
-1.0000000000e-01	0.0000000000e+00	4.2018240661e+00	2.0813612411e+00
-1.0000000000e-01	1.0000000000e-02	4.2070135094e+00	2.0761717978e+00
-1.0000000000e-01	2.0000000000e-02	4.2223691058e+00	2.0608162014e+00
-1.0000000000e-01	3.0000000000e-02	4.2472828617e+00	2.0359024455e+00
-1.0000000000e-01	4.0000000000e-02	4.2808355564e+00	2.0023497507e+00
-1.0000000000e-01	5.0000000000e-02	4.3219076973e+00	1.9612776099e+00
-1.0000000000e-01	6.0000000000e-02	4.3692903585e+00	1.9138949487e+00
-1.0000000000e-01	7.0000000000e-02	4.4217765834e+00	1.8614087238e+00
-1.0000000000e-01	8.0000000000e-02	4.4782254543e+00	1.8049598529e+00
-1.0000000000e-01	9.0000000000e-02	4.5375998930e+00	1.7455854142e+00
-1.0000000000e-01	1.0000000000e-01	4.5989837884e+00	1.6842015188e+00
-9.0000000000e-02	-1.0000000000e-01	4.5376020271e+00	1.7455832801e+00
-9.0000000000e-02	-9.0000000000e-02	4.4719468068e+00	1.8112385004e+00
-9.0000000000e-02	-8.0000000000e-02	4.4080999236e+00	1.8750853836e+00
-9.0000000000e-02	-7.0000000000e-02	4.3470378624e+00	1.9361474448e+00
-9.0000000000e-02	-6.0000000000e-02	4.2898956115e+00	1.9932896957e+00
-9.0000000000e-02	-5.0000000000e-02	4.2379585182e+00	2.0452267890e+00
-9.0000000000e-02	-4.0000000000e-02	4.1926289448e+00	2.0905563624e+00
-9.0000000000e-02	-3.0000000000e-02	4.1553563634e+00	2.1278289438e+00
-9.0000000000e-02	-2.0000000000e-02	4.1275238554e+00	2.1556614518e+00
-9.0000000000e-02	-1.0000000000e-02	4.1102969973e+00	2.1728883098e+00
-9.0000000000e-02	0.0000000000e+00	4.1044617870e+00	2.1787235202e+00
-9.0000000000e-02	1.0000000000e-02	4.1102965869e+00	2.1728887203e+00
-9.0000000000e-02	2.0000000000e-02	4.1275230535e+00	2.1556622536e+00
-9.0000000000e-02	3.0000000000e-02	4.1553552050e+00	2.1278301021e+00
-9.0000000000e-02	4.0000000000e-02	4.1926274753e+00	2.0905578319e+00
-9.0000000000e-02	5.0000000000e-02	4.2379567878e+00	2.0452285194e+00
-9.0000000000e-02	6.0000000000e-02	4.2898936706e+00	1.9932916366e+00
-9.0000000000e-02	7.0000000000e-02	4.3470357582e+00	1.9361495490e+00
-9.0000000000e-02	8.0000000000e-02	4.4080976988e+00	1.8750876084e+00
-9.0000000000e-02	9.0000000000e-02	4.4719444986e+00	1.8112408085e+00
-9.0000000000e-02	1.0000000000e-01	4.5375996675e+00	1.7455856396e+00
-8.0000000000e-02	-1.0000000000e-01	4.4782275000e+00	1.8049578072e+00
-8.0000000000e-02	-9.0000000000e-02	4.4080999236e+00	1.8750853836e+00
-8.0000000000e-02	-8.0000000000e-02	4.3394899836e+00	1.9436953235e+00
-8.0000000000e-02	-7.0000000000e-02	4.2734206595e+00	2.0097646477e+00
-8.0000000000e-02	-6.0000000000e-02	4.2111178179e+00	2.0720674893e+00
-8.0000000000e-02	-5.0000000000e-02	4.1540185095e+00	2.1291667977e+00
-8.0000000000e-02	-4.0000000000e-02	4.1037512675e+00	2.1794340397e+00
-8.0000000000e-02	-3.0000000000e-02	4.0620677848e+00	2.2211175224e+00
-8.0000000000e-02	-2.0000000000e-02	4.0307062906e+00	2.2524790166e+00
-8.0000000000e-02	-1.0000000000e-02	4.0111836451e+00	2.2720016621e+00
-8.0000000000e-02	0.0000000000e+00	4.0045501593e+00	2.2786351479e+00
-8.0000000000e-02	1.0000000000e-02	4.0111831755e+00	2.2720021316e+00
-8.0000000000e-02	2.0000000000e-02	4.0307053774e+00	2.2524799297e+00
-8.0000000000e-02	3.0000000000e-02	4.0620664746e+00	2.2211188326e+00
-8.0000000000e-02	4.0000000000e-02	4.1037496188e+00	2.1794356884e+00
-8.0000000000e-02	5.0000000000e-02	4.1540165847e+00	2.1291687224e+00
-8.0000000000e-02	6.0000000000e-02	4.2111156771e+00	2.0720696301e+00
-8.0000000000e-02	7.0000000000e-02	4.2734183570e+00	2.0097669502e+00
-8.0000000000e-02	8.0000000000e-02	4.3394875666e+00	1.9436977406e+00
-8.0000000000e-02	9.0000000000e-02	4.4080974318e+00	1.8750878753e+00
