kx	ky	kz	ELattice_down	ELattice_up	ETB_down	ETB_up
0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.5416646642e-05	7.5416646643e-05	-0.0000000000e+00	-0.0000000000e+00
0.0000000000e+00	0.0000000000e+00	1.5707963268e-01	-1.3316435931e-02	1.3316435931e-02	-1.1969590778e-02	1.1969590778e-02
0.0000000000e+00	0.0000000000e+00	3.1415926536e-01	-2.7998004964e-02	2.7998004964e-02	-2.5163748013e-02	2.5163748013e-02
0.0000000000e+00	0.0000000000e+00	4.7123889804e-01	-4.5677809376e-02	4.5677809376e-02	-4.1047322102e-02	4.1047322102e-02
0.0000000000e+00	0.0000000000e+00	6.2831853072e-01	-6.8594755564e-02	6.8594755564e-02	-6.1631387665e-02	6.1631387665e-02
0.0000000000e+00	0.0000000000e+00	7.8539816340e-01	-1.0008381249e-01	1.0008381249e-01	-8.9920742669e-02	8.9920742669e-02
0.0000000000e+00	0.0000000000e+00	9.4247779608e-01	-1.4527608095e-01	1.4527608095e-01	-1.3057175966e-01	1.3057175966e-01
0.0000000000e+00	0.0000000000e+00	1.0995574288e+00	-2.1186809984e-01	2.1186809984e-01	-1.9068242504e-01	1.9068242504e-01
0.0000000000e+00	0.0000000000e+00	1.2566370614e+00	-3.1000439964e-01	3.1000439964e-01	-2.7996778022e-01	2.7996778022e-01
0.0000000000e+00	0.0000000000e+00	1.4137166941e+00	-4.4854438906e-01	4.4854438906e-01	-4.0791318571e-01	4.0791318571e-01
0.0000000000e+00	0.0000000000e+00	1.5707963268e+00	-6.2555647877e-01	6.2555647877e-01	-5.7519325921e-01	5.7519325921e-01
0.0000000000e+00	0.0000000000e+00	1.7278759595e+00	-8.2208356697e-01	8.2208356697e-01	-7.6602704244e-01	7.6602704244e-01
0.0000000000e+00	0.0000000000e+00	1.8849555922e+00	-1.0141144616e+00	1.0141144616e+00	-9.5718071481e-01	9.5718071481e-01
0.0000000000e+00	0.0000000000e+00	2.0420352248e+00	-1.1899698180e+00	1.1899698180e+00	-1.1356846333e+00	1.1356846333e+00
0.0000000000e+00	0.0000000000e+00	2.1991148575e+00	-1.3527832462e+00	1.3527832462e+00	-1.3034573096e+00	1.3034573096e+00
0.0000000000e+00	0.0000000000e+00	2.3561944902e+00	-1.5148486009e+00	1.5148486009e+00	-1.4723227227e+00	1.4723227227e+00
0.0000000000e+00	0.0000000000e+00	2.5132741229e+00	-1.6946189135e+00	1.6946189135e+00	-1.6607141927e+00	1.6607141927e+00
0.0000000000e+00	0.0000000000e+00	2.6703537556e+00	-1.9177448134e+00	1.9177448134e+00	-1.8942085838e+00	1.8942085838e+00
0.0000000000e+00	0.0000000000e+00	2.8274333882e+00	-2.2186604235e+00	2.2186604235e+00	-2.2062166261e+00	2.2062166261e+00
0.0000000000e+00	0.0000000000e+00	2.9845130209e+00	-2.6307583334e+00	2.6307583334e+00	-2.6270115734e+00	2.6270115734e+00
0.0000000000e+00	0.0000000000e+00	3.1415926536e+00	-3.1381879533e+00	3.1381879533e+00	-3.1415926536e+00	3.1415926536e+00
1.5707963268e-01	0.0000000000e+00	3.1415926536e+00	-2.5944347268e+00	2.5944347268e+00	-2.6128942873e+00	2.6128942873e+00
3.1415926536e-01	0.0000000000e+00	3.1415926536e+00	-2.0842707648e+00	2.0842707648e+00	-2.1180311538e+00	2.1180311538e+00
4.7123889804e-01	0.0000000000e+00	3.1415926536e+00	-1.6401031359e+00	1.6401031359e+00	-1.6808318672e+00	1.6808318672e+00
6.2831853072e-01	0.0000000000e+00	3.1415926536e+00	-1.2719974423e+00	1.2719974423e+00	-1.3119510047e+00	1.3119510047e+00
7.8539816340e-01	0.0000000000e+00	3.1415926536e+00	-9.7775032789e-01	9.7775032789e-01	-1.0116891714e+00	1.0116891714e+00
9.4247779608e-01	0.0000000000e+00	3.1415926536e+00	-7.4859876497e-01	7.4859876497e-01	-7.7415503962e-01	7.7415503962e-01
1.0995574288e+00	0.0000000000e+00	3.1415926536e+00	-5.7329195439e-01	5.7329195439e-01	-5.9037126871e-01	5.9037126871e-01
1.2566370614e+00	0.0000000000e+00	3.1415926536e+00	-4.4052953655e-01	4.4052953655e-01	-4.5035928059e-01	4.5035928059e-01
1.4137166941e+00	0.0000000000e+00	3.1415926536e+00	-3.4029205480e-01	3.4029205480e-01	-3.4458286178e-01	3.4458286178e-01
1.5707963268e+00	0.0000000000e+00	3.1415926536e+00	-2.6438187789e-01	2.6438187789e-01	-2.6480465340e-01	2.6480465340e-01
1.7278759595e+00	0.0000000000e+00	3.1415926536e+00	-2.0643914984e-01	2.0643914984e-01	-2.0439335547e-01	2.0439335547e-01
1.8849555922e+00	0.0000000000e+00	3.1415926536e+00	-1.6168886288e-01	1.6168886288e-01	-1.5825184225e-01	1.5825184225e-01
2.0420352248e+00	0.0000000000e+00	3.1415926536e+00	-1.2660725628e-01	1.2660725628e-01	-1.2256728683e-01	1.2256728683e-01
2.1991148575e+00	0.0000000000e+00	3.1415926536e+00	-9.8608301137e-02	9.8608301137e-02	-9.4523525028e-02	9.4523525028e-02
2.3561944902e+00	0.0000000000e+00	3.1415926536e+00	-7.5787231318e-02	7.5787231318e-02	-7.2043738960e-02	7.2043738960e-02
2.5132741229e+00	0.0000000000e+00	3.1415926536e+00	-5.6724613666e-02	5.6724613666e-02	-5.3584311802e-02	5.3584311802e-02
2.6703537556e+00	0.0000000000e+00	3.1415926536e+00	-4.0341416457e-02	4.0341416457e-02	-3.7978147463e-02	3.7978147463e-02
2.8274333882e+00	0.0000000000e+00	3.1415926536e+00	-2.5792715293e-02	2.5792715293e-02	-2.4317917165e-02	2.4317917165e-02
2.9845130209e+00	0.0000000000e+00	3.1415926536e+00	-1.2388849332e-02	1.2388849332e-02	-1.1868606214e-02	1.1868606214e-02
3.1415926536e+00	0.0000000000e+00	3.1415926536e+00	-4.6910464618e-04	4.6910464618e-04	-6.1842889440e-18	3.9144510239e-18
3.1415926536e+00	1.5707963268e-01	3.1415926536e+00	-1.2316444411e-02	1.2316444411e-02	-1.1468726734e-02	1.1468726734e-02
3.1415926536e+00	3.1415926536e-01	3.1415926536e+00	-2.2549745320e-02	2.2549745320e-02	-2.1253045086e-02	2.1253045086e-02
3.1415926536e+00	4.7123889804e-01	3.1415926536e+00	-2.9452205517e-02	2.9452205517e-02	-2.8275948209e-02	2.8275948209e-02
3.1415926536e+00	6.2831853072e-01	3.1415926536e+00	-3.2960006450e-02	3.2960006450e-02	-3.2281620405e-02	3.2281620405e-02
3.1415926536e+00	7.8539816340e-01	3.1415926536e+00	-3.3735297178e-02	3.3735297178e-02	-3.3643021758e-02	3.3643021758e-02
3.1415926536e+00	9.4247779608e-01	3.1415926536e+00	-3.2645074649e-02	3.2645074649e-02	-3.3021684601e-02	3.3021684601e-02
3.1415926536e+00	1.0995574288e+00	3.1415926536e+00	-3.0448233747e-02	3.0448233747e-02	-3.1097526472e-02	3.1097526472e-02
3.1415926536e+00	1.2566370614e+00	3.1415926536e+00	-2.7694841730e-02	2.7694841730e-02	-2.8431297333e-02	2.8431297333e-02
3.1415926536e+00	1.4137166941e+00	3.1415926536e+00	-2.4739271579e-02	2.4739271579e-02	-2.5428204052e-02	2.5428204052e-02
3.1415926536e+00	1.5707963268e+00	3.1415926536e+00	-2.1789505104e-02	2.1789505104e-02	-2.2353385520e-02	2.2353385520e-02
3.1415926536e+00	1.7278759595e+00	3.1415926536e+00	-1.8955792466e-02	1.8955792466e-02	-1.9364520513e-02	1.9364520513e-02
3.1415926536e+00	1.8849555922e+00	3.1415926536e+00	-1.6287524194e-02	1.6287524194e-02	-1.6544197805e-02	1.6544197805e-02
3.1415926536e+00	2.0420352248e+00	3.1415926536e+00	-1.3798061374e-02	1.3798061374e-02	-1.3925826571e-02	1.3925826571e-02
3.1415926536e+00	2.1991148575e+00	3.1415926536e+00	-1.1480385812e-02	1.1480385812e-02	-1.1512262989e-02	1.1512262989e-02
3.1415926536e+00	2.3561944902e+00	3.1415926536e+00	-9.3165368581e-03	9.3165368581e-03	-9.2883298167e-03	9.2883298167e-03
3.1415926536e+00	2.5132741229e+00	3.1415926536e+00	-7.2830922540e-03	7.2830922540e-03	-7.2288142134e-03	7.2288142134e-03
3.1415926536e+00	2.6703537556e+00	3.1415926536e+00	-5.3542204127e-03	5.3542204127e-03	-5.3033385404e-03	5.3033385404e-03
3.1415926536e+00	2.8274333882e+00	3.1415926536e+00	-3.5032961626e-03	3.5032961626e-03	-3.4791621139e-03	3.4791621139e-03
3.1415926536e+00	2.9845130209e+00	3.1415926536e+00	-1.7038923290e-03	1.7038923290e-03	-1.7226614083e-03	1.7226614083e-03
3.1415926536e+00	3.1415926536e+00	3.1415926536e+00	-1.0428659319e-04	1.0428659320e-04	-1.2369409516e-17	4.5137494374e-17
3.1415926536e+00	3.1415926536e+00	2.9845130209e+00	-1.8753616325e-03	1.8753616325e-03	-1.7300277432e-03	1.7300277432e-03
3.1415926536e+00	3.1415926536e+00	2.8274333882e+00	-3.8240489312e-03	3.8240489312e-03	-3.5388998328e-03	3.5388998328e-03
3.1415926536e+00	3.1415926536e+00	2.6703537556e+00	-5.9340511607e-03	5.9340511607e-03	-5.5110914075e-03	5.5110914075e-03
3.1415926536e+00	3.1415926536e+00	2.5132741229e+00	-8.2987774873e-03	8.2987774873e-03	-7.7427703435e-03	7.7427703435e-03
3.1415926536e+00	3.1415926536e+00	2.3561944902e+00	-1.1030258430e-02	1.1030258430e-02	-1.0348713719e-02	1.0348713719e-02
3.1415926536e+00	3.1415926536e+00	2.1991148575e+00	-1.4266830668e-02	1.4266830668e-02	-1.3470458197e-02	1.3470458197e-02
3.1415926536e+00	3.1415926536e+00	2.0420352248e+00	-1.8183030518e-02	1.8183030518e-02	-1.7285909711e-02	1.7285909711e-02
3.1415926536e+00	3.1415926536e+00	1.8849555922e+00	-2.3001454988e-02	2.3001454988e-02	-2.2020211406e-02	2.2020211406e-02
3.1415926536e+00	3.1415926536e+00	1.7278759595e+00	-2.9005869528e-02	2.9005869528e-02	-2.7956628715e-02	2.7956628715e-02
3.1415926536e+00	3.1415926536e+00	1.5707963268e+00	-3.6552853968e-02	3.6552853968e-02	-3.5443855324e-02	3.5443855324e-02
